Value,displacement
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409851.0,0.0
181409850.0,-1.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409850.0,0.0
181409849.0,-1.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409848.0,-1.0
181409849.0,1.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409849.0,0.0
181409848.0,-1.0
181409849.0,1.0
181409849.0,0.0
181409848.0,-1.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
181409848.0,0.0
